Tempo: 5, Valor de Saída: x
Tempo: 4975, Valor de Saída: 5073
Tempo: 4985, Valor de Saída: 64922
Tempo: 4995, Valor de Saída: 19862
Tempo: 5005, Valor de Saída: 46565
Tempo: 5015, Valor de Saída: 19951
Tempo: 5025, Valor de Saída: 3143
Tempo: 5035, Valor de Saída: 5947
Tempo: 5045, Valor de Saída: 39468
Tempo: 5055, Valor de Saída: 63150
Tempo: 5065, Valor de Saída: 471
Tempo: 5075, Valor de Saída: 2833
Tempo: 5085, Valor de Saída: 32410
Tempo: 5095, Valor de Saída: 51495
Tempo: 5105, Valor de Saída: 24075
Tempo: 5115, Valor de Saída: 30686
Tempo: 5125, Valor de Saída: 31785
Tempo: 5135, Valor de Saída: 42581
Tempo: 5145, Valor de Saída: 49846
Tempo: 5155, Valor de Saída: 46639
Tempo: 5165, Valor de Saída: 42402
Tempo: 5175, Valor de Saída: 23107
Tempo: 5185, Valor de Saída: 46605
Tempo: 5195, Valor de Saída: 4805
Tempo: 5205, Valor de Saída: 2857
Tempo: 5215, Valor de Saída: 45380
Tempo: 5225, Valor de Saída: 51932
Tempo: 5235, Valor de Saída: 55424
Tempo: 5245, Valor de Saída: 46086
Tempo: 5255, Valor de Saída: 31451
Tempo: 5265, Valor de Saída: 36347
Tempo: 5275, Valor de Saída: 23206
Tempo: 5285, Valor de Saída: 46321
Tempo: 5295, Valor de Saída: 35297
Tempo: 5305, Valor de Saída: 37869
Tempo: 5315, Valor de Saída: 60388
Tempo: 5325, Valor de Saída: 9445
Tempo: 5335, Valor de Saída: 45992
Tempo: 5345, Valor de Saída: 28660
Tempo: 5355, Valor de Saída: 56540
Tempo: 5365, Valor de Saída: 2726
Tempo: 5375, Valor de Saída: 48020
Tempo: 5385, Valor de Saída: 41880
Tempo: 5395, Valor de Saída: 30407
Tempo: 5405, Valor de Saída: 31006
Tempo: 5415, Valor de Saída: 31973
Tempo: 5425, Valor de Saída: 53717
Tempo: 5435, Valor de Saída: 4303
Tempo: 5445, Valor de Saída: 33957
Tempo: 5455, Valor de Saída: 49747
